Date,BRK-B,GOOG,AAPL,YAHOF,HL.L,O,META,AMZN,LGEN.L,ISRG,SQ,TSCO.L,BP,LLOY.L,BARC.L,ULVR.L,NG.L,WETF,GLEN.L,PHNX.L
2019-10-07,,,,,,,,,,,,,,,,,,,,
2019-10-08,-0.01519981215874533,-0.015359994056592385,-0.011714946960112993,-0.024549922039907357,-0.01061155364228894,0.001285278505225751,-0.010741277573757313,-0.01566961490022023,-0.025952171784917932,-0.03342196238045092,-0.023293184946818535,-0.03037963498229579,-0.002706559904090189,-0.013926506420855356,-0.0027710830274720877,-0.001342042063570248,0.0010232825821303582,-0.04250990198745919,-0.004888952511631239,0.007890793237065097
2019-10-09,0.012739507816008189,0.01108373997067269,0.011720161755760516,0.0,0.025402070206940408,0.004748160908606636,0.011814380329201901,0.009662859223618092,0.0038675753418739856,0.010058929201768985,0.02335529607666542,-0.010878824972880619,0.008683794166755465,-0.005492294734917302,0.007364198986351322,0.0007235746359217643,-0.0014764743796326085,-0.0021143084473856932,0.0042429566943877894,-0.009334578433927931
2019-10-10,0.0008224789149804401,0.005289766721293887,0.013478495842098814,0.0,-0.02725004005855436,0.005620245200439911,0.001000793270352407,-0.0010046756673366408,0.03167818014155577,-0.005621254437334522,-0.0030537196669649935,0.012240930841130426,-0.0002687974768355028,0.03885593949260957,0.028965482463300773,-0.01249978984320621,-0.009554148350198632,-0.03177954081400858,0.03179893677103229,0.017629245593152376
2019-10-11,0.005897714478891203,0.005609483332543297,0.026598212994204617,0.0,0.04838702344111545,-0.010669727823357511,0.023107280399469632,0.006778047269550891,0.08215738655185278,0.013301229675169779,-0.007899369231215814,0.06508363538669037,0.00807306020469789,0.12265051926956727,0.07560323443692685,-0.027722729123847878,0.0238860870027795,0.06345737438501553,0.023706966412878616,0.052120563921846275
2019-10-14,-0.0008169846571000061,0.0013904210029838104,-0.0014393858761119205,0.0,-0.03373821561915513,0.0010275291513932583,-0.0049405703352377595,0.002604069615361304,-0.004601053317134451,0.0016408728535175499,0.00471239699728665,-0.012799345554065922,-0.0010678362177400924,-0.022661955379668308,-0.017946134341869313,-0.0004304155664044407,-0.008748239941039793,-0.0061731529229981374,-0.02800001917179873,-0.013910521207807447
2019-10-15,0.007070372732483454,0.021254791407694595,-0.0023316618560671465,0.0033556606257134636,0.027095006718366177,0.0014109712758434423,0.03060890794257931,0.017823932579885904,0.03158695518276189,0.017981038908587266,0.039786495416810785,0.021329854097915213,-0.0016032844783246958,0.052431148182030984,0.040862831136595945,-0.016469112297609056,0.010975301317917463,0.016563214288749073,0.0121290924420423,0.034835187815465796
2019-10-16,-0.00042989585720021317,0.0005068013079241318,-0.004037105608755365,0.0,-0.020941013526916352,0.006659698464960062,0.003494116492360755,0.005686324313618707,-0.0003733988717291581,0.0038431659659081685,-0.020065342932912955,-0.0036853566740577826,-0.0040151645627166666,0.003452831918888899,0.0013412206074339128,0.008755512865559645,0.002014488789627622,-0.016293344138305854,-0.013695703480192667,-0.010293511272342126
2019-10-17,-0.003201290985896832,0.0075825866447680745,0.003882847912462628,0.0,-0.01305557974190441,-0.0001272523581880014,0.004431529012749458,0.005654258700535264,0.027269362387323914,-0.001584267654988647,0.0063492305695065365,-0.0028768659182599743,0.01478103066374592,-0.0011469107560159175,-0.0015829373279794279,0.00954765948796088,0.004132757894456551,0.01449299837705098,-0.008244721231720042,0.010259979388673734
2019-10-18,0.000671073688645274,-0.006049108272231041,0.0048026872563797784,0.0,-0.02110886386347466,0.011197237861847231,-0.023845755032759652,-0.016766587598934568,0.001454421404514239,0.0696071455407512,-0.04652997936814418,0.0057705319605374505,-0.007415165797186152,-0.012631306925750652,0.006097583320710864,-0.0056959427630627335,0.0011123047449865808,0.00204064090635403,-0.004375370843440529,-0.006399456342899734
